Continente,Localidade,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Swaziland,Export,Crustaceans,1312,715,930,1158,3875,1085,49,0,0,0,0,0,7,0,0,0
Africa,Swaziland,Export,Fish,1259,842,1660,713,1512,768,130,32,167,178,152,110,9,0,5,0
Africa,Swaziland,Import,Crustaceans,1611,667,876,1305,3236,976,457,141,418,1,18,220,158,94,142,138
Africa,Swaziland,Import,Fish,6442,4651,4965,7866,10414,9224,5724,5005,3650,3502,3350,3371,3985,4766,8141,7352
Africa,"Tanzania, United Rep. of",Export,Crustaceans,8704,10733,11597,13075,11085,15069,5780,4804,3935,2181,1511,1691,2934,2602,4440,5377
Africa,"Tanzania, United Rep. of",Export,Fish,84748,98730,104043,116889,102107,124189,121880,153526,171022,137855,101178,88807,97792,75953,155175,150466
Africa,"Tanzania, United Rep. of",Import,Crustaceans,89,414,4,6,38,130,10,16,1,22,3,5,1,7,2,26
Africa,"Tanzania, United Rep. of",Import,Fish,355,349,116,574,548,403,1021,2269,3852,3958,3253,2146,3913,5869,18113,17251
Africa,Togo,Export,Crustaceans,311,190,0,0,22,0,13,0,90,0,0,0,4,12,0,20
Africa,Togo,Export,Fish,2677,5297,10120,2724,10300,4187,4211,2321,3539,5356,4401,4335,2900,1153,2181,1899
Africa,Togo,Import,Crustaceans,6,7,20,75,31,0,27,132,0,4,0,3,5,0,2,14
Africa,Togo,Import,Fish,11703,13437,6862,7521,4921,8672,7707,7667,7150,10083,24336,32562,32207,31974,29924,37278
Africa,Tunisia,Export,Crustaceans,54094,38503,32647,42051,44124,47611,49976,44509,50556,38142,37248,41423,30206,43318,47739,51930
Africa,Tunisia,Export,Fish,18481,24973,29361,22469,41846,66813,72868,91536,105545,78802,65757,90860,79375,89437,71754,68832
Africa,Tunisia,Import,Crustaceans,327,230,445,514,185,622,512,1241,1502,3172,4784,3623,3253,1232,522,782
Africa,Tunisia,Import,Fish,11023,18089,17326,35041,27482,39083,45618,49834,64386,61897,60154,68144,76276,71854,72754,52320
Africa,Uganda,Export,Crustaceans,0,40,0,52,0,1,2,0,56,0,7,0,34,5,0,0
Africa,Uganda,Export,Fish,28722,49591,85781,84593,99996,138911,140694,118084,118985,109167,124825,125856,122049,123929,134489,117060
Africa,Uganda,Import,Crustaceans,20,13,18,17,18,22,40,83,118,100,117,81,90,135,166,225
Africa,Uganda,Import,Fish,65,21,64,1000,121,531,139,576,720,654,1358,2580,3648,2219,3444,2176
Africa,Zambia,Export,Crustaceans,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0
Africa,Zambia,Export,Fish,418,308,858,897,997,3418,357,384,1295,1090,905,530,465,431,725,501
Africa,Zambia,Import,Crustaceans,16,53,30,34,22,18,49,86,21,31,90,194,318,457,697,368
Africa,Zambia,Import,Fish,1196,984,1737,3337,2935,5093,5386,8423,5260,6259,8024,16945,31887,51001,77625,113357
Africa,Zimbabwe,Export,Crustaceans,6,16,2,0,4,0,0,1,0,0,0,0,3,0,0,0
Africa,Zimbabwe,Export,Fish,4299,3462,2387,2495,2459,1819,4673,3020,1453,2157,3246,4826,6596,8776,15321,12518
Africa,Zimbabwe,Import,Crustaceans,455,181,187,103,97,1361,148,185,50,112,188,238,194,633,512,581
Africa,Zimbabwe,Import,Fish,7210,2962,1801,1432,2563,494,3280,2035,2871,4653,17878,22833,23457,27840,24998,25749
Americas,Antigua and Barbuda,Export,Crustaceans,150,74,117,74,57,36,52,33,21,43,30,135,206,207,8,52
Americas,Antigua and Barbuda,Export,Fish,40,106,136,168,113,292,158,226,199,302,370,755,801,416,282,200
Americas,Antigua and Barbuda,Import,Crustaceans,603,112,391,2523,799,720,780,764,710,778,724,814,798,871,1183,998
Americas,Antigua and Barbuda,Import,Fish,3217,1500,2204,2842,3342,3899,5418,6804,5877,4762,5005,5286,5588,5319,5062,5391
Americas,Argentina,Export,Crustaceans,247849,376041,251544,388461,218293,88464,374959,291152,384248,323482,472443,528603,495691,634659,776839,780253
Americas,Argentina,Export,Fish,358548,329740,342766,374117,467718,486903,592668,619742,675952,662185,657656,709988,604064,559762,569476,509083
Americas,Argentina,Import,Crustaceans,7715,3792,327,455,460,2346,2947,2837,3190,3245,5353,6330,5323,6343,5257,5471
Americas,Argentina,Import,Fish,67030,61091,12402,24986,41626,53182,67535,89645,87219,86085,107839,139497,153710,168681,135020,148608
Americas,Aruba,Export,Crustaceans,0,0,0,0,0,1,0,0,0,1,4,1,0,0,6,0
Americas,Aruba,Export,Fish,241,358,777,435,1017,250,70,82,23,15,13,0,3,48,11,32
Americas,Aruba,Import,Crustaceans,475,266,266,235,489,513,442,462,509,4533,4707,5542,6173,6406,8088,9089
Americas,Aruba,Import,Fish,9451,9083,9711,10948,11721,11142,12064,13262,13898,9137,9839,9759,11215,10878,11271,12297
Americas,Bahamas,Export,Crustaceans,106808,69399,89810,107198,86616,75040,91025,81371,78865,60978,70503,70508,78469,86866,65435,59082
Americas,Bahamas,Export,Fish,356,421,628,728,175,156,289,537,396,975,1001,942,602,1152,504,355
Americas,Bahamas,Import,Crustaceans,3566,3852,4190,3327,3040,3557,3874,4083,4950,4488,4967,3899,4745,3253,5278,4479
Americas,Bahamas,Import,Fish,10420,9305,9554,9281,10877,12398,13412,13079,15817,15204,14035,16714,19056,17952,18023,18242
Americas,Barbados,Export,Crustaceans,6,2,4,16,26,34,36,30,18,17,6,11,9,10,8,8
